produkt,cena,ilosc,rng
Produkt C,355,61,0.12
Produkt A,969,50,0.24
I Do pieca,305,86,0.09
Produkt D,761,31,0.4
I Do pieca,915,26,0.41
Produkt A,423,96,0.69
Produkt B,987,60,0.43
Produkt B,18,51,0.6
Produkt D,217,14,0.9
Produkt D,236,38,0.85
I Do pieca,758,52,0.75
Produkt B,601,24,0.04
Produkt B,321,92,0.91
Produkt B,78,65,0.35
Produkt C,194,33,0.73
Produkt D,716,47,0.68
Produkt E,938,40,0.85
Produkt C,527,15,0.75
67,449,100,0.17
Produkt D,884,97,0.85
Produkt A,482,64,0.34
Produkt E,938,99,0.55
67,544,71,0.61
Produkt B,803,4,0.31
I Do pieca,405,61,0.74
Produkt C,672,40,0.49
Produkt D,277,63,0.34
Produkt B,512,42,0.25
Produkt B,158,66,0.55
Produkt D,371,65,0.65
Produkt C,88,53,0.26
Produkt B,783,51,0.05
Produkt D,394,5,0.37
Produkt B,343,75,0.52
Produkt E,56,32,0.31
I Do pieca,103,90,0.64
Produkt A,779,10,0.1
Produkt A,656,9,0.92
Produkt A,295,16,0.05
Produkt B,735,27,0.41
Produkt A,331,6,0.15
Produkt E,246,95,0.47
Produkt C,107,88,0.21
Produkt D,81,2,0.25
67,853,80,0.84
Produkt B,469,61,0.71
Produkt B,577,32,0.43
Produkt D,409,30,0.89
Produkt A,351,28,0.81
Produkt A,128,2,0.86
Produkt B,625,17,0.26
Produkt C,222,44,0.7
Produkt C,478,99,0.61
Produkt C,708,1,0.95
Produkt B,717,38,0.7
Produkt C,325,21,0.39
Produkt B,302,53,0.38
Produkt C,965,42,0.51
Produkt A,892,16,0.45
Produkt A,Produkt A,5,0.01
Produkt C,657,29,0.78
Produkt D,342,51,0.3
67,693,33,0.35
I Do pieca,803,2,0.5
Produkt C,580,96,0.36
Produkt B,74,1,0.51
I Do pieca,545,71,0.1
Produkt C,499,28,0.33
Produkt C,Produkt A,88,0.0
Produkt D,39,4,0.86
Produkt D,995,1,0.06
Produkt C,540,12,0.25
I Do pieca,377,63,0.24
Produkt D,127,11,0.34
Produkt B,66,55,0.12
Produkt A,989,55,0.89
Produkt A,286,91,0.98
Produkt A,231,80,0.58
Produkt B,655,1,0.53
Produkt D,327,38,0.96
Produkt A,521,19,0.96
Produkt C,365,6,0.12
Produkt A,2,32,0.93
67,330,38,0.17
Produkt B,826,64,0.55
Produkt D,670,99,0.34
Produkt C,755,49,0.84
I Do pieca,206,29,0.06
Produkt B,473,25,0.44
Produkt D,594,48,0.15
Produkt C,685,13,0.45
Produkt D,926,68,0.47
Produkt D,210,6,0.77
Produkt B,413,23,0.03
Produkt A,716,2,0.7
Produkt A,298,68,0.71
Produkt B,574,14,0.86
Produkt E,555,77,0.79
Produkt A,955,44,0.12
Produkt C,814,12,0.6
Produkt D,604,25,0.56
Produkt C,487,45,0.47
Produkt A,348,65,0.73
Produkt B,522,20,0.4
Produkt D,94,75,0.28
Produkt D,159,52,0.8
Produkt A,676,3,0.8
Produkt D,782,74,0.73
Produkt D,565,68,0.93
Produkt E,898,71,0.2
Produkt B,426,78,0.76
Produkt A,634,27,0.3
Produkt C,73,70,0.3
Produkt D,309,43,0.05
Produkt D,400,20,0.37
Produkt D,509,97,0.49
Produkt C,367,58,0.65
Produkt A,556,58,0.2
Produkt A,747,29,0.6
Produkt C,565,69,0.57
Produkt A,698,18,0.07
I Do pieca,224,42,0.9
Produkt E,341,82,0.14
Produkt A,945,98,0.45
Produkt C,292,60,0.14
Produkt C,968,6,0.93
I Do pieca,890,42,0.22
Produkt A,299,Produkt B,1.0
Produkt D,126,98,0.95
Produkt B,111,7,0.07
I Do pieca,552,50,0.4
Produkt B,617,53,0.17
Produkt B,598,87,0.21
Produkt A,1000,3,0.63
Produkt D,217,30,0.35
Produkt A,439,52,0.83
Produkt C,736,16,0.13
Produkt B,376,28,0.36
Produkt A,966,78,0.02
Produkt E,518,48,0.39
Produkt A,980,35,0.73
Produkt A,56,30,0.48
Produkt A,54,85,0.83
Produkt B,983,22,0.84
Produkt C,789,55,0.71
Produkt B,854,80,0.5
Produkt D,700,10,0.03
Produkt E,229,33,0.68
Produkt E,49,62,0.38
Produkt B,907,92,0.04
Produkt B,755,98,0.9
Produkt B,291,27,0.18
Produkt D,190,83,0.41
I Do pieca,63,42,0.33
Produkt A,875,84,0.44
Produkt E,428,31,0.77
Produkt E,658,65,0.96
Produkt B,15,72,0.23
Produkt B,774,71,0.76
Produkt A,297,19,0.54
Produkt E,454,82,0.39
Produkt E,195,10,0.06
Produkt A,190,11,0.94
Produkt B,334,10,0.02
Produkt D,68,11,0.28
Produkt B,9,80,0.69
Produkt A,500,27,0.65
Produkt B,245,63,0.34
Produkt A,796,68,0.25
Produkt C,290,92,0.49
Produkt A,458,31,0.41
Produkt C,109,29,0.23
I Do pieca,840,72,0.59
Produkt B,167,9,0.83
Produkt A,208,95,0.66
Produkt C,150,60,0.26
Produkt D,990,18,0.02
Produkt B,267,45,0.16
Produkt A,417,85,0.1
Produkt C,185,26,0.5
Produkt D,846,63,0.47
Produkt B,19,81,0.3
Produkt A,465,33,0.62
Produkt A,409,40,0.11
Produkt E,857,87,0.2
Produkt E,463,10,0.64
Produkt B,30,86,0.68
Produkt A,911,14,0.12
Produkt D,864,6,0.01
Produkt B,579,13,0.45
Produkt B,222,84,0.76
Produkt B,834,41,0.27
Produkt D,300,60,0.27
Produkt E,346,27,0.73
Produkt A,453,85,0.73
Produkt E,121,52,0.08
Produkt A,771,17,0.94
Produkt E,717,3,0.35
Produkt B,90,39,0.66
Produkt E,26,19,0.45
67,942,31,0.48
Produkt C,97,58,0.64
Produkt A,380,7,0.39
Produkt C,279,1,0.64
Produkt B,110,20,0.22
Produkt D,686,72,0.47
67,861,43,0.45
I Do pieca,480,97,0.15
Produkt D,664,89,0.59
Produkt B,23,57,0.89
Produkt A,305,95,0.3
Produkt A,864,33,0.28
Produkt A,975,70,0.63
Produkt D,140,65,0.82
Produkt B,762,41,0.84
Produkt B,843,60,0.14
Produkt D,617,59,0.22
Produkt A,458,50,0.86
Produkt B,691,81,0.91
Produkt B,107,48,0.2
Produkt A,178,41,0.56
Produkt B,739,41,0.96
Produkt C,877,I Do pieca,1.0
Produkt B,346,24,0.72
Produkt C,628,65,0.75
Produkt D,178,99,0.49
Produkt B,25,89,0.96
Produkt C,46,7,0.42
Produkt B,488,85,0.56
67,259,67,0.2
67,379,54,0.86
I Do pieca,126,99,0.79
Produkt E,159,17,0.09
Produkt E,442,57,0.76
Produkt D,618,54,0.84
Produkt A,717,85,0.17
Produkt D,162,94,0.11
Produkt B,541,90,0.03
Produkt A,295,75,0.27
Produkt A,341,96,0.6
I Do pieca,23,10,0.92
Produkt E,979,75,0.15
Produkt A,442,11,0.94
Produkt A,863,36,0.15
Produkt B,937,83,0.63
Produkt A,499,10,0.79
Produkt D,342,70,0.03
Produkt D,878,72,0.92
Produkt C,700,60,0.81
Produkt C,727,85,0.32
Produkt D,462,80,0.07
Produkt C,509,100,0.25
Produkt E,909,90,0.11
Produkt B,471,81,0.41
Produkt C,292,Produkt A,1.0
Produkt D,Produkt B,25,0.0
Produkt A,591,29,0.98
Produkt D,872,38,0.68
Produkt A,665,75,0.72
Produkt B,313,13,0.61
Produkt B,801,92,0.17
Produkt E,251,38,0.35
67,87,38,0.89
Produkt C,23,11,0.33
Produkt A,141,60,0.21
Produkt B,117,66,0.22
Produkt A,760,82,0.97
Produkt E,150,2,0.63
Produkt B,398,86,0.78
Produkt D,762,65,0.44
Produkt E,878,72,0.92
Produkt A,480,88,0.79
Produkt C,874,14,0.34
Produkt A,360,3,0.17
I Do pieca,841,56,0.21
Produkt C,36,83,0.86
I Do pieca,384,29,0.93
Produkt C,224,20,0.92
Produkt C,268,51,0.94
Produkt A,6,20,0.69
Produkt D,338,38,0.65
Produkt C,107,46,0.32
Produkt C,355,62,0.57
Produkt A,150,55,0.75
Produkt A,734,25,0.62
Produkt E,635,69,0.29
I Do pieca,126,31,0.95
Produkt C,470,44,0.22
Produkt A,913,89,0.12
Produkt A,522,100,0.3
Produkt A,38,32,0.61
Produkt D,870,39,0.02
Produkt B,345,54,0.19
Produkt A,793,95,0.4
Produkt A,319,11,0.28
Produkt B,393,32,0.05
Produkt A,416,4,0.37
Produkt A,921,70,0.67
Produkt B,355,93,0.51
Produkt D,567,18,0.59
Produkt B,562,42,0.39
Produkt A,531,39,0.36
Produkt B,576,49,0.52
Produkt D,797,93,0.24
Produkt A,904,91,0.73
Produkt C,781,58,0.81
Produkt D,707,29,0.6
Produkt A,173,40,0.13
Produkt D,76,84,0.61
Produkt C,613,82,0.69
Produkt C,809,46,0.68
Produkt A,541,33,0.75
Produkt D,304,3,0.17
Produkt B,94,95,0.21
Produkt D,524,27,0.7
Produkt D,159,37,0.29
Produkt D,910,59,0.8
Produkt D,943,21,0.07
Produkt D,679,90,0.75
Produkt A,438,55,0.38
Produkt C,397,9,0.71
Produkt A,178,17,0.48
Produkt D,170,100,0.36
Produkt C,845,13,0.63
Produkt C,412,73,0.13
Produkt D,675,67,0.84
Produkt D,658,29,0.14
Produkt B,1000,68,0.5
Produkt A,308,20,0.74
Produkt A,606,54,0.8
67,464,90,0.15
Produkt A,689,6,0.41
Produkt A,88,70,0.5
Produkt C,295,49,0.15
Produkt C,610,32,0.13
I Do pieca,772,5,0.27
I Do pieca,84,28,0.87
Produkt D,909,70,0.39
Produkt C,465,42,0.64
Produkt A,515,27,0.3
Produkt C,966,87,0.54
Produkt D,855,11,0.53
Produkt B,90,37,0.06
Produkt C,407,21,0.18
Produkt A,883,5,0.51
Produkt E,661,62,0.35
Produkt B,822,85,0.3
Produkt D,174,58,0.48
I Do pieca,684,85,0.11
Produkt B,797,21,0.83
Produkt D,441,75,0.57
Produkt B,374,77,0.42
Produkt C,663,23,0.74
Produkt C,437,63,0.08
Produkt C,140,41,0.73
Produkt B,165,71,0.89
Produkt B,317,13,0.14
Produkt B,282,52,0.1
Produkt A,556,56,0.7
Produkt E,569,77,0.81
Produkt B,658,27,0.09
Produkt E,577,45,0.17
Produkt B,776,27,0.14
Produkt B,283,78,0.94
Produkt B,348,34,0.64
Produkt C,231,13,0.1
Produkt B,720,96,0.61
I Do pieca,472,30,0.27
Produkt C,493,9,0.28
Produkt B,421,40,0.75
Produkt C,178,38,0.25
Produkt D,252,17,0.78
Produkt A,688,85,0.76
Produkt B,576,83,0.2
Produkt A,939,82,0.86
Produkt E,494,25,0.89
Produkt B,814,46,0.26
I Do pieca,632,5,0.16
Produkt C,544,13,0.55
Produkt D,208,61,0.83
Produkt A,588,36,0.42
Produkt E,765,26,0.26
Produkt C,733,83,0.11
Produkt B,734,50,0.76
Produkt B,90,82,0.6
Produkt B,943,15,0.91
Produkt E,291,19,0.95
Produkt B,2,40,0.39
Produkt D,92,52,0.2
Produkt A,593,21,0.39
Produkt B,815,83,0.24
Produkt A,245,62,0.36
Produkt C,306,22,0.9
Produkt A,80,16,0.53
Produkt D,203,1,0.63
Produkt C,471,52,0.11
Produkt B,18,7,0.25
Produkt A,189,2,0.64
Produkt E,148,44,0.39
Produkt B,713,26,0.08
Produkt B,452,34,0.67
Produkt B,415,58,0.3
Produkt C,554,11,0.9
I Do pieca,609,70,0.01
Produkt C,49,20,0.74
Produkt C,18,26,0.98
Produkt B,45,73,0.01
Produkt B,751,59,0.85
Produkt D,633,62,0.31
Produkt B,394,93,0.58
Produkt D,993,10,0.73
Produkt B,9,Produkt C,0.99
Produkt B,557,64,0.62
Produkt A,296,17,0.56
Produkt D,900,74,0.27
Produkt B,302,90,0.65
Produkt B,114,39,0.45
Produkt C,740,40,0.19
Produkt A,626,54,0.4
Produkt A,160,9,0.99
Produkt B,513,31,0.31
Produkt C,212,9,0.17
Produkt B,836,30,0.05
Produkt D,909,25,0.78
Produkt C,657,58,0.2
Produkt C,203,49,0.6
Produkt D,621,93,0.65
Produkt C,114,21,0.92
Produkt C,100,75,0.48
Produkt C,503,67,0.03
Produkt E,641,15,0.53
Produkt E,636,41,0.45
67,212,65,0.25
Produkt C,925,39,0.21
Produkt B,108,17,0.41
Produkt C,257,89,0.03
Produkt B,800,77,0.76
67,898,99,0.63
Produkt B,640,90,0.68
Produkt B,592,46,0.7
Produkt C,558,60,0.45
Produkt B,253,83,0.68
Produkt B,7,90,0.98
Produkt C,772,71,0.36
Produkt B,466,11,0.43
Produkt A,80,23,0.32
Produkt D,641,87,0.26
Produkt A,905,27,0.82
Produkt C,103,35,0.76
Produkt D,789,49,0.7
Produkt A,302,50,0.09
I Do pieca,484,80,0.22
I Do pieca,881,13,0.72
Produkt A,114,28,0.2
Produkt E,592,5,0.24
Produkt B,158,67,0.53
Produkt C,257,33,0.5
Produkt D,963,29,0.77
Produkt C,295,16,0.26
Produkt B,493,31,0.74
Produkt B,987,25,0.2
Produkt D,715,16,0.1
I Do pieca,332,72,0.17
67,903,81,0.64
Produkt C,26,67,0.41
Produkt C,31,37,0.84
Produkt A,352,39,0.31
Produkt C,830,57,0.9
Produkt E,640,48,0.76
Produkt C,915,44,0.02
Produkt D,667,93,0.92
Produkt C,197,71,0.18
Produkt A,893,5,0.78
Produkt C,678,40,0.59
Produkt C,177,51,0.9
Produkt B,23,39,0.22
Produkt E,477,46,0.89
Produkt C,613,23,0.66
Produkt D,477,5,0.12
Produkt B,440,35,0.44
Produkt A,997,28,0.91
Produkt B,93,58,0.43
Produkt D,884,57,0.26
Produkt C,305,8,0.25
Produkt D,883,87,0.6
Produkt D,771,3,0.96
Produkt D,760,91,0.02
Produkt A,149,73,0.3
Produkt D,581,80,0.23
Produkt A,41,39,0.15
Produkt D,584,22,0.85
Produkt A,229,47,0.27
Produkt A,926,48,0.34
I Do pieca,903,52,0.58
Produkt E,405,74,0.92
Produkt D,81,18,0.06
Produkt A,90,11,0.15
Produkt D,598,71,0.82
Produkt D,429,5,0.11
I Do pieca,810,54,0.05
Produkt D,230,95,0.08
Produkt E,264,78,0.68
67,990,90,0.86
Produkt C,282,17,0.24
Produkt A,175,78,0.42
Produkt C,399,76,0.74
Produkt A,69,74,0.82
Produkt D,15,27,0.94
Produkt A,519,23,0.11
Produkt C,274,3,0.64
67,336,7,0.56
67,442,100,0.24
I Do pieca,508,8,0.54
Produkt D,155,62,0.69
Produkt B,59,74,0.64
Produkt D,985,28,0.63
Produkt A,670,52,0.51
Produkt C,Produkt C,38,0.01
Produkt A,741,4,0.05
Produkt D,282,95,0.26
Produkt D,306,28,0.3
Produkt A,285,95,0.97
Produkt C,915,88,0.07
Produkt A,304,8,0.35
Produkt B,79,66,0.8
Produkt B,437,40,0.13
I Do pieca,914,25,0.38
Produkt C,531,29,0.41
Produkt C,254,82,0.02
Produkt D,580,64,0.98
Produkt D,231,39,0.36
Produkt D,665,90,0.2
Produkt C,200,30,0.4
Produkt D,468,52,0.96
Produkt D,42,65,0.07
Produkt A,405,8,0.04
Produkt A,683,81,0.91
67,589,49,0.84
Produkt D,557,90,0.09
Produkt B,371,64,0.33
I Do pieca,211,84,0.54
Produkt E,343,6,0.66
Produkt A,496,55,0.57
Produkt C,986,51,0.01
Produkt C,70,5,0.12
Produkt B,127,53,0.03
Produkt C,855,45,0.93
Produkt D,286,40,0.38
Produkt B,706,36,0.95
I Do pieca,453,13,0.49
Produkt D,965,84,0.17
Produkt E,575,93,0.59
Produkt D,584,23,0.42
Produkt B,687,38,0.93
Produkt E,306,8,0.9
Produkt A,47,39,0.82
Produkt B,468,58,0.31
Produkt D,375,37,0.65
Produkt C,58,69,0.22
Produkt C,32,38,0.16
Produkt A,14,13,0.45
Produkt D,984,10,0.89
Produkt C,290,51,0.7
Produkt C,1000,70,0.68
Produkt C,385,4,0.86
67,727,96,0.53
Produkt D,665,92,0.64
Produkt A,234,24,0.59
I Do pieca,670,68,0.73
Produkt B,955,48,0.83
Produkt C,678,61,0.53
Produkt C,129,16,0.42
Produkt D,176,24,0.69
67,495,5,0.57
Produkt A,957,91,0.45
Produkt D,120,73,0.79
Produkt B,849,37,0.61
Produkt D,658,97,0.75
Produkt A,621,41,0.27
67,861,32,0.57
67,3,73,0.16
Produkt A,175,13,0.95
Produkt B,28,11,0.09
Produkt B,914,97,0.53
Produkt C,48,82,0.93
Produkt B,263,41,0.27
Produkt B,919,27,0.3
Produkt A,884,89,0.74
Produkt A,491,9,0.09
Produkt A,277,61,0.27
Produkt C,476,81,0.37
Produkt E,901,70,0.46
Produkt A,500,53,0.95
Produkt B,944,97,0.11
Produkt E,408,70,0.32
Produkt A,618,1,0.15
Produkt A,659,86,0.82
Produkt C,672,5,0.58
Produkt C,341,20,0.85
Produkt A,840,57,0.28
Produkt A,658,16,0.49
Produkt A,220,9,0.55
Produkt D,795,69,0.84
Produkt B,536,44,0.88
Produkt C,99,7,0.68
Produkt D,727,73,0.18
Produkt A,302,37,0.98
Produkt D,457,83,0.76
Produkt A,890,65,0.84
Produkt E,461,11,0.7
Produkt C,858,41,0.93
Produkt B,528,2,0.06
Produkt A,235,33,0.88
Produkt D,157,79,0.47
Produkt C,534,71,0.5
Produkt C,400,33,0.56
Produkt B,361,8,0.14
Produkt D,841,29,0.45
I Do pieca,51,56,0.11
Produkt E,676,87,0.87
Produkt A,136,74,0.16
Produkt E,284,33,0.51
Produkt E,779,18,0.87
Produkt C,136,2,0.72
Produkt A,503,49,0.18
Produkt A,32,30,0.28
Produkt C,633,85,0.88
67,431,51,0.65
Produkt D,274,10,0.85
Produkt C,729,80,0.05
Produkt C,258,46,0.36
Produkt B,829,89,0.74
Produkt E,84,51,0.66
Produkt D,303,29,0.65
Produkt C,419,47,0.42
Produkt A,928,98,0.43
I Do pieca,715,50,0.74
Produkt C,839,49,0.1
Produkt B,233,74,0.47
Produkt B,115,63,0.24
Produkt C,500,17,0.84
67,83,56,0.57
I Do pieca,810,48,0.07
Produkt C,839,85,0.21
Produkt A,152,34,0.91
Produkt D,221,73,0.08
Produkt D,701,90,0.79
Produkt D,100,12,0.26
Produkt E,150,90,0.22
Produkt B,503,13,0.21
Produkt B,72,14,0.51
Produkt A,524,18,0.01
I Do pieca,517,13,0.76
Produkt C,226,71,0.74
Produkt D,592,71,0.85
Produkt B,909,46,0.15
Produkt D,754,46,0.24
Produkt B,823,7,0.21
Produkt A,735,79,0.16
Produkt D,262,48,0.29
I Do pieca,345,56,0.56
Produkt C,243,63,0.54
Produkt A,873,90,0.72
Produkt B,271,13,0.71
Produkt D,722,11,0.44
I Do pieca,482,51,0.91
Produkt B,1,3,0.38
Produkt D,27,63,0.56
Produkt C,529,84,0.93
Produkt D,995,39,0.5
Produkt C,326,40,0.81
67,608,83,0.72
Produkt D,8,4,0.11
Produkt D,671,77,0.85
Produkt C,878,59,0.9
Produkt E,649,44,0.63
Produkt B,954,19,0.61
Produkt A,339,17,0.95
Produkt C,55,35,0.8
Produkt B,79,41,0.36
Produkt A,558,85,0.92
Produkt C,659,70,0.38
Produkt D,272,76,0.05
Produkt A,496,22,0.19
Produkt B,176,28,0.87
Produkt B,128,76,0.63
Produkt E,474,55,0.7
Produkt C,344,53,0.35
Produkt E,695,61,0.88
Produkt C,361,90,0.8
Produkt C,907,42,0.87
Produkt D,848,42,0.58
Produkt B,968,11,0.95
Produkt B,437,97,0.86
Produkt C,321,11,0.43
I Do pieca,535,89,0.69
I Do pieca,732,46,0.67
Produkt C,639,49,0.69
Produkt B,324,29,0.83
Produkt D,238,51,0.87
Produkt D,835,10,0.74
Produkt A,824,3,0.88
Produkt B,387,61,0.83
Produkt B,341,14,0.83
Produkt E,754,49,0.68
Produkt E,269,1,0.87
Produkt A,224,73,0.32
Produkt A,446,25,0.78
Produkt E,314,77,0.79
Produkt A,282,73,0.94
Produkt D,731,25,0.72
67,183,95,0.37
Produkt B,142,71,0.94
Produkt B,636,45,0.53
Produkt D,420,47,0.8
I Do pieca,677,28,0.21
Produkt A,452,42,0.93
Produkt A,765,60,0.96
I Do pieca,418,39,0.04
Produkt E,761,99,0.33
Produkt C,325,5,0.04
Produkt C,73,54,0.68
Produkt D,564,73,0.16
I Do pieca,501,11,0.15
Produkt B,607,17,0.72
Produkt C,292,87,0.29
Produkt B,793,13,0.45
Produkt A,958,14,0.51
Produkt E,301,64,0.58
Produkt A,711,97,0.84
Produkt E,140,6,0.17
Produkt C,787,54,0.28
Produkt C,790,69,0.65
Produkt D,564,23,0.4
Produkt E,731,2,0.7
Produkt D,780,4,0.71
Produkt B,203,71,0.34
Produkt C,976,100,0.38
Produkt E,783,52,0.39
Produkt B,955,82,0.16
Produkt E,879,41,0.23
I Do pieca,619,67,0.19
Produkt B,183,88,0.52
Produkt A,958,45,0.26
Produkt A,135,8,0.4
Produkt D,990,95,0.57
Produkt E,809,52,0.06
Produkt E,647,85,0.87
Produkt C,684,73,0.89
Produkt C,745,36,0.68
Produkt E,984,59,0.91
Produkt A,492,5,0.41
Produkt B,147,36,0.98
Produkt B,966,1,0.32
Produkt A,326,44,0.98
67,733,86,0.04
Produkt B,952,83,0.45
I Do pieca,247,100,0.58
Produkt A,436,67,0.64
Produkt D,681,37,0.78
Produkt C,193,29,0.43
Produkt C,353,13,0.77
Produkt A,80,80,0.14
Produkt B,954,75,0.84
Produkt D,885,56,0.17
Produkt B,456,58,0.58
I Do pieca,602,22,0.95
Produkt A,673,38,0.67
Produkt B,234,29,0.4
Produkt A,957,55,0.84
Produkt E,724,62,0.88
Produkt E,702,59,0.77
Produkt D,111,15,0.8
Produkt B,553,15,0.37
Produkt D,34,63,0.19
Produkt C,320,68,0.52
Produkt C,536,20,0.76
67,464,83,0.37
Produkt C,307,35,0.02
Produkt C,912,48,0.47
Produkt B,139,30,0.93
Produkt D,559,31,0.14
Produkt A,639,86,0.32
Produkt B,771,21,0.09
Produkt A,35,76,0.38
Produkt C,834,25,0.49
Produkt A,317,72,0.37
Produkt E,337,20,0.66
Produkt A,861,11,0.36
Produkt D,384,53,0.39
I Do pieca,854,4,0.3
Produkt B,249,9,0.72
Produkt C,784,27,0.55
Produkt B,779,28,0.07
I Do pieca,435,68,0.67
Produkt C,42,88,0.53
I Do pieca,437,83,0.8
Produkt A,201,95,0.96
Produkt D,397,63,0.29
Produkt A,432,90,0.66
Produkt D,483,84,0.11
Produkt D,976,60,0.5
Produkt D,399,77,0.04
Produkt C,852,38,0.53
Produkt C,541,60,0.43
Produkt A,354,96,0.02
Produkt D,884,33,0.7
Produkt D,41,99,0.9
Produkt D,851,62,0.53
Produkt A,414,37,0.46
Produkt B,634,78,0.91
Produkt A,473,23,0.45
Produkt A,833,76,0.71
Produkt B,175,87,0.69
Produkt D,643,27,0.25
Produkt C,768,61,0.61
Produkt D,830,87,0.23
Produkt A,674,13,0.32
Produkt C,860,89,0.61
Produkt D,88,63,0.44
Produkt B,870,24,0.08
Produkt C,278,52,0.58
Produkt B,367,50,0.13
Produkt C,560,6,0.09
Produkt C,164,7,0.68
Produkt D,977,9,0.85
Produkt C,915,15,0.12
Produkt B,685,21,0.85
Produkt D,1000,24,0.14
Produkt A,75,43,0.37
Produkt E,43,95,0.23
Produkt B,94,69,0.74
Produkt E,255,34,0.52
Produkt A,902,55,0.59
Produkt B,300,35,0.32
Produkt C,242,100,0.68
67,885,80,0.48
Produkt E,972,89,0.81
I Do pieca,321,37,0.36
67,797,99,0.68
Produkt B,944,83,0.05
I Do pieca,904,55,0.16
I Do pieca,838,5,0.59
Produkt C,366,15,0.07
Produkt D,42,90,0.77
Produkt A,457,47,0.75
Produkt A,488,4,0.39
Produkt A,622,49,0.14
Produkt D,432,59,0.91
I Do pieca,630,34,0.03
I Do pieca,196,33,0.06
I Do pieca,337,74,0.25
Produkt C,155,68,0.76
Produkt A,498,70,0.81
Produkt C,493,82,0.76
Produkt C,275,26,0.6
Produkt A,644,63,0.56
Produkt B,561,20,0.37
Produkt C,423,87,0.23
Produkt E,123,48,0.52
Produkt B,393,58,0.85
Produkt A,473,8,0.05
Produkt D,826,83,0.59
Produkt C,515,28,0.56
Produkt D,49,33,0.1
Produkt B,181,32,0.86
Produkt D,478,64,0.68
Produkt C,742,27,0.79
Produkt D,933,15,0.39
Produkt B,464,69,0.41
Produkt D,372,92,0.2
Produkt C,694,53,0.12
Produkt A,240,100,0.57
Produkt B,796,99,0.53
Produkt D,305,55,0.69
Produkt B,55,34,0.91
Produkt B,702,53,0.4
Produkt C,399,84,0.14
Produkt A,529,33,0.84
Produkt A,911,24,0.3
Produkt C,976,69,0.45
Produkt B,722,8,0.07
Produkt E,548,4,0.38
Produkt A,19,29,0.67
67,64,7,0.2
I Do pieca,Produkt E,52,0.0
Produkt B,795,64,0.45
Produkt A,274,26,0.57
Produkt A,181,8,0.26
67,105,29,0.76
Produkt B,999,53,0.73
Produkt E,246,92,0.8
Produkt D,713,92,0.79
Produkt A,654,57,0.29
I Do pieca,770,13,0.28
Produkt C,502,71,0.74
Produkt A,863,34,0.76
Produkt D,779,71,0.43
Produkt B,I Do pieca,17,0.0
Produkt A,719,76,0.08
Produkt A,516,7,0.04
Produkt D,862,7,0.41
Produkt E,9,50,0.68
67,34,91,0.15
Produkt E,441,52,0.78
Produkt D,698,27,0.97
Produkt B,502,45,0.32
Produkt A,217,66,0.3
Produkt E,353,37,0.15
Produkt C,236,Produkt E,1.0
Produkt A,373,69,0.09
Produkt E,198,71,0.19
Produkt D,971,74,0.55
I Do pieca,630,22,0.76
Produkt C,152,55,0.15
Produkt C,101,84,0.94
I Do pieca,170,63,0.97
Produkt A,623,38,0.64
Produkt D,628,83,0.98
Produkt A,717,48,0.57
Produkt B,512,59,0.32
Produkt B,305,75,0.04
Produkt A,78,77,0.56
Produkt C,390,61,0.85
Produkt C,756,41,0.37
Produkt B,140,93,0.26
Produkt B,772,41,0.16
Produkt A,109,13,0.98
Produkt C,182,67,0.64
Produkt D,900,53,0.24
Produkt D,4,74,0.45
Produkt C,144,49,0.49
Produkt D,468,64,0.36
Produkt B,737,25,0.4
Produkt E,298,15,0.74
Produkt C,Produkt E,18,0.0
Produkt D,565,45,0.44
Produkt B,190,38,0.94
Produkt B,568,74,0.6
Produkt D,551,48,0.75
Produkt E,994,59,0.36
Produkt B,17,75,0.12
Produkt A,236,29,0.44
Produkt C,569,1,0.85
Produkt D,745,25,0.5
Produkt C,318,4,0.76
Produkt D,587,7,0.87
Produkt D,998,57,0.08
Produkt B,448,8,0.1
Produkt D,286,93,0.5
Produkt D,890,53,0.85
Produkt C,805,86,0.55
Produkt C,753,85,0.09
I Do pieca,770,96,0.47
Produkt D,703,3,0.62
Produkt B,178,87,0.07
Produkt D,344,74,0.16
Produkt C,303,25,0.16
Produkt C,971,40,0.45
Produkt C,790,50,0.67
Produkt A,73,34,0.23
Produkt D,80,30,0.56
Produkt B,550,61,0.26
Produkt A,254,60,0.44
Produkt A,278,52,0.88
Produkt C,834,27,0.21
I Do pieca,667,4,0.18
Produkt C,587,84,0.86
I Do pieca,614,71,0.29
Produkt E,602,1,0.37
Produkt E,288,73,0.32
Produkt C,237,53,0.12
I Do pieca,959,86,0.96
67,676,91,0.82
Produkt E,236,83,0.94
Produkt B,91,97,0.36
Produkt C,977,53,0.73
Produkt D,344,34,0.68
Produkt D,736,23,0.12
Produkt D,261,33,0.86
Produkt B,145,50,0.73
Produkt E,452,85,0.19
Produkt B,92,1,0.89
Produkt C,217,70,0.91
Produkt E,149,Produkt A,0.99
Produkt A,966,49,0.57
I Do pieca,757,65,0.68
Produkt C,992,94,0.55
Produkt C,234,1,0.73
Produkt C,746,57,0.55
Produkt B,966,93,0.77
Produkt B,584,55,0.79
Produkt D,448,5,0.33
Produkt A,752,70,0.23
Produkt D,494,100,0.43
Produkt A,252,57,0.16
Produkt C,511,51,0.77
Produkt B,321,41,0.5
I Do pieca,925,59,0.15
